На 01 июля 2019 года;;;;;;;;;;;;;
Листинг;Дата включения в список;Эмитент;ИНН;Ценная бумага;Тип ценной бумаги;Гос. рег. номер;Дата регистрации;Номинал;Объем;Торговый код;Дата погашения;Дата обращения;Предназначение для квалинвесторов
Первый уровень;30.11.2016;"ПАО ""ГТЛК""";7720261827;биржевые облигации документарные процентные неконвертируемые на предъявителя с обязательным централизованным хранением серии 001Р-02;Облигация биржевая;4B02-02-32432-H-001P;30.11.2016;1000;7 780 000;RU000A0JX199;24.11.2031;12.12.2016;
Первый уровень;06.12.2016;Правительство ЯНАО;8900000142;Облигации государственного внутреннего облигационного займа Ямало-Ненецкого автономного округа  2016 года с фиксированным процентным (купонным) доходом и амортизацией долга;Облигация субфедеральная;RU35002YML0;22.11.2016;1000;20 000 000;RU000A0JX0Z8;06.12.2023;07.12.2016;
Первый уровень;16.12.2016;Правительство Ханты - Мансийского автономного округа-Югры;8601006241;Государственные облигации (внутреннего займа) Ханты-Мансийского автономного округа - Югры 2016 года с фиксированным купонным доходом и амортизацией долга;Облигация субфедеральная;RU35001HMN0;08.12.2016;1000;6 000 000;RU000A0JX215;18.12.2023;19.12.2016;
Первый уровень;27.12.2016;"ООО ""ДОМ.РФ Ипотечный агент""";7727290538;неконвертируемые документарные процентные жилищные облигации с ипотечным покрытием на предъявителя с обязательным централизованным хранением;Облигация корпоративная;4-01-00307-R-001P;22.12.2016;1000;2 108 581;RU000A0JX3M0;28.12.2039;28.12.2016;
Первый уровень;10.01.2017;ВЭБ.РФ;7750004150;неконвертируемые процентные документарные биржевые облигации на предъявителя серии ПБО-001Р-05 с обязательным централизованным хранением;Облигация биржевая;4B02-05-00004-T-001P;10.01.2017;1000;10 000 000;RU000A0JX4Q9;17.12.2021;12.01.2017;
Первый уровень;24.01.2017;"ПАО ""Россети""";7728662669;акции обыкновенные;Акция обыкновенная;1-01-55385-E;29.07.2008;1;198 827 865 141;RSTI;;;
Первый уровень;31.01.2017;Минфин России;7710168360;Облигации федерального займа с постоянным купонным доходом;Облигация федерального займа;26220RMFS;27.01.2017;1000;350 000 000;SU26220RMFS2;07.12.2022;01.02.2017;
Первый уровень;03.02.2017;"ПАО ""ГТЛК""";7720261827;биржевые облигации неконвертируемые процентные документарные на предъявителя с обязательным централизованным хранением серии 001Р-03;Облигация биржевая;4B02-03-32432-H-001P;03.02.2017;1000;10 000 000;RU000A0JXE06;22.01.2032;09.02.2017;
Первый уровень;07.02.2017;"ПАО ""МТС""";7740000076;биржевые облигации документарные процентные неконвертируемые на предъявителя с обязательным централизованным хранением серии 001Р-01;Облигация биржевая;4B02-01-04715-A-001P;07.02.2017;1000;10 000 000;RU000A0JXEV5;04.02.2022;10.02.2017;
Первый уровень;08.02.2017;"ПАО ""Детский мир""";7729355029;акции обыкновенные;Акция обыкновенная;1-02-00844-A;11.02.2014;0.0004;739 000 000;DSKY;;10.02.2017;
Первый уровень;14.02.2017;Минфин России;7710168360;Облигации федерального займа с постоянным купонным доходом;Облигация федерального займа;26221RMFS;06.02.2017;1000;350 000 000;SU26221RMFS0;23.03.2033;15.03.2017;
Первый уровень;14.03.2017;"ПАО Банк ""ФК Открытие""";7706092528;Биржевые облигации документарные процентные неконвертируемые на предъявителя с обязательным централизованным хранением серии БО-П03;Облигация биржевая;4B020302209B001P;14.03.2017;1000;10 000 000;RU000A0JXLR8;10.04.2023;24.03.2017;
Первый уровень;23.03.2017;"ООО ""Концессии теплоснабжения""";3444259579;Облигации документарные неконвертируемые процентные на предъявителя серии 01 с обязательным централизованным хранением;Облигация корпоративная;4-01-00309-R-001P;06.03.2017;1000;2 000 000;RU000A0JXN62;06.04.2032;10.04.2017;
Первый уровень;27.03.2017;"ПАО ""МТС""";7740000076;биржевые облигации документарные процентные неконвертируемые на предъявителя с обязательным централизованным хранением серии 001Р-02;Облигация биржевая;4B02-02-04715-A-001P;27.03.2017;1000;10 000 000;RU000A0JXMH7;25.03.2021;30.03.2017;
Первый уровень;13.04.2017;"ООО ""Концессии водоснабжения""";3460019060;документарные неконвертируемые процентные облигации на предъявителя серии 04 с обязательным централизованным хранением;Облигация корпоративная;4-04-36487-R-001P;13.03.2017;1000;1 100 000;RU000A0JXP29;07.06.2031;24.04.2017;
Первый уровень;20.04.2017;"ПАО ""Группа ЛСР""";7838360491;биржевые облигации документарные процентные неконвертируемые на предъявителя с обязательным централизованным хранением серии 001Р-02;Облигация биржевая;4B02-02-55234-E-001P;20.04.2017;1000;5 000 000;RU000A0JXPM0;20.04.2022;26.04.2017;
Первый уровень;20.04.2017;"ПАО ""ГТЛК""";7720261827;биржевые облигации неконвертируемые процентные документарные на предъявителя с обязательным централизованным хранением серии 001Р-04;Облигация биржевая;4B02-04-32432-H-001P;20.04.2017;1000;10 000 000;RU000A0JXPG2;06.04.2032;25.04.2017;
Первый уровень;21.04.2017;"ПАО ""Ростелеком""";7707049388;биржевые облигации документарные процентные неконвертируемые на предъявителя с обязательным централизованным хранением серии 001Р-02R;Облигация биржевая;4B02-02-00124-A-001P;21.04.2017;1000;10 000 000;RU000A0JXPN8;14.04.2027;26.04.2017;
Первый уровень;25.04.2017;Минфин России;7710168360;облигации федерального займа для физических лиц;Облигация федерального займа;53001RMFS;24.04.2017;1000;30 000 000;SU53001RMFS2;29.04.2020;;
Первый уровень;28.04.2017;"ПАО ""НК ""Роснефть""";7706107510;биржевые облигации процентные неконвертируемые документарные на предъявителя с обязательным централизованным хранением серии 001Р-04;Облигация биржевая;4B02-04-00122-A-001P;28.04.2017;1000;40 000 000;RU000A0JXQK2;22.04.2027;04.05.2017;
Первый уровень;02.05.2017;Минфин России;7710168360;Облигации федерального займа с постоянным купонным доходом;Облигация федерального займа;26222RMFS;27.04.2017;1000;350 000 000;SU26222RMFS8;16.10.2024;03.05.2017;
Первый уровень;15.05.2017;"ПАО ""НК ""Роснефть""";7706107510;биржевые облигации процентные неконвертируемые документарные на предъявителя с обязательным централизованным хранением серии 001Р-05;Облигация биржевая;4B02-05-00122-A-001P;15.05.2017;1000;15 000 000;RU000A0JXR68;08.05.2025;18.05.2017;
Первый уровень;17.05.2017;Министерство финансов Республики Саха (Якутия);1435027673;Облигации государственного займа Республики Саха (Якутия) в форме документарных ценных бумаг на предъявителя с фиксированным купонным доходом и амортизацией долга;Облигация субфедеральная;RU35009RSY0;02.05.2017;1000;5 000 000;RU000A0JXR43;16.05.2024;18.05.2017;
Первый уровень;23.05.2017;ВЭБ.РФ;7750004150;неконвертируемые процентные документарные биржевые облигации на предъявителя серии ПБО-001Р-07 с обязательным централизованным хранением;Облигация биржевая;4B02-07-00004-T-001P;23.05.2017;1000;25 000 000;RU000A0JXRP9;22.11.2019;26.05.2017;
Первый уровень;23.05.2017;"ПАО ""МТС""";7740000076;биржевые облигации процентные неконвертируемые документарные на предъявителя с обязательным централизованным хранением серии БО-02;Облигация биржевая;4B02-02-04715-A;14.03.2013;1000;10 000 000;RU000A0JWRV9;15.08.2031;;
Первый уровень;24.05.2017;"ООО ""ИКС 5 ФИНАНС""";7715630469;биржевые облигации документарные неконвертируемые процентные на предъявителя с обязательным централизованным хранением серии 001Р-02;Облигация биржевая;4B02-02-36241-R-001P;24.05.2017;1000;10 000 000;RU000A0JXRS3;07.05.2032;26.05.2017;
Первый уровень;24.05.2017;"ООО ""Лента""";7814148471;биржевые облигации документарные процентные неконвертируемые на предъявителя с обязательным централизованным хранением серии БО-001Р-01;Облигация биржевая;4B02-01-36420-R-001P;24.05.2017;1000;5 000 000;RU000A0JXRX3;26.05.2020;30.05.2017;
Первый уровень;25.05.2017;"ООО ""ДОМ.РФ Ипотечный агент""";7727290538;неконвертируемые документарные процентные жилищные облигации с ипотечным покрытием на предъявителя с обязательным централизованным хранением;Облигация корпоративная;4-01-00307-R-002P;18.05.2017;1000;49 999 827;RU000A0JXRM6;28.09.2049;14.06.2017;
Первый уровень;29.05.2017;ПАО Сбербанк;7707083893;Биржевые облигации документарные процентные неконвертируемые на предъявителя с обязательным централизованным хранением серии БО-19;Облигация биржевая;4B021901481B;10.01.2013;1000;15 000 000;RU000A0JXRW5;30.05.2027;30.05.2017;
Первый уровень;30.05.2017;"ООО ""ДОМ.РФ Ипотечный агент""";7727290538;неконвертируемые документарные процентные жилищные облигации с ипотечным покрытием на предъявителя с обязательным централизованным хранением;Облигация корпоративная;4-02-00307-R-001P;25.05.2017;1000;1 384 767;RU000A0JXS26;28.03.2041;31.05.2017;
Первый уровень;31.05.2017;ДФ ЯО;7604002902;государственные облигации Ярославской области 2017 года в форме документарных ценных бумаг на предъявителя с фиксированным купонным доходом и амортизацией долга;Облигация субфедеральная;RU35015YRS0;22.05.2017;1000;10 000 000;RU000A0JXS83;20.04.2027;01.06.2017;
Первый уровень;06.06.2017;МУФ СО;6315802231;Государственные облигации Самарской области 2017 года в форме документарных ценных бумаг на предъявителя с фиксированным купонным доходом и амортизацией долга;Облигация субфедеральная;RU35013SAM0;24.05.2017;1000;10 000 000;RU000A0JXT41;31.05.2024;09.06.2017;
Первый уровень;09.06.2017;"ПАО ""РусГидро""";2460066195;биржевые облигации документарные процентные неконвертируемые на предъявителя с обязательным централизованным хранением серии БО-П05;Облигация биржевая;4B02-05-55038-E-001P;09.06.2017;1000;10 000 000;RU000A0JXTQ3;12.06.2020;16.06.2017;
Первый уровень;15.06.2017;Правительство Белгородской области;3124016792;государственные облигации Белгородской области 2017 года в форме документарных ценных бумаг на предъявителя с фиксированным купонным доходом и амортизацией долга;Облигация субфедеральная;RU35011BEL0;15.05.2017;1000;4 000 000;RU000A0JXTW1;11.06.2024;20.06.2017;
Первый уровень;19.06.2017;ВЭБ.РФ;7750004150;неконвертируемые процентные документарные биржевые облигации на предъявителя серии ПБО-001Р-08 с обязательным централизованным хранением;Облигация биржевая;4B02-08-00004-T-001P;19.06.2017;1000;550 000;RU000A0JXU48;15.12.2022;22.06.2017;
Первый уровень;19.06.2017;"ООО ""ИА МКБ 2""";7743166866;неконвертируемые документарные процентные жилищные облигации с ипотечным покрытием на предъявителя с обязательным централизованным хранением;Облигация корпоративная;4-01-00302-R;17.11.2016;1000;3 328 384;RU000A0JX0L8;07.12.2043;;
Первый уровень;21.06.2017;ВЭБ.РФ;7750004150;неконвертируемые процентные документарные биржевые облигации на предъявителя серии ПБО-001Р-09 с обязательным централизованным хранением;Облигация биржевая;4B02-09-00004-T-001P;21.06.2017;1000;30 000 000;RU000A0JXU71;18.06.2021;23.06.2017;
Первый уровень;26.06.2017;Министерство финансов Республики Коми;1101481969;Республиканские облигации Республики Коми 2017 года;Облигация субфедеральная;RU35014KOM0;19.06.2017;1000;10 000 000;RU000A0JXUD9;25.06.2024;27.06.2017;
Первый уровень;29.06.2017;Минфин России;7710168360;Облигации внешнего облигационного займа;Еврооблигация;12840078V;23.06.2017;200000;12 023;RU000A0JXTS9;23.06.2027;30.06.2017;
Первый уровень;29.06.2017;Минфин России;7710168360;Облигации внешнего облигационного займа;Еврооблигация;12840079V;23.06.2017;200000;35 000;RU000A0JXU14;23.06.2047;30.06.2017;
Первый уровень;29.06.2017;"ПАО ""ФСК ЕЭС""";4716016979;неконвертируемые процентные документарные Биржевые облигации на предъявителя серии БО-02 с обязательным централизованным хранением;Облигация биржевая;4B02-02-65018-D;06.06.2012;1000;10 000 000;RU000A0JX090;17.10.2051;;
Первый уровень;03.07.2017;FinEx Physically Backed Funds plc (ФинЭкс Физикли Бэкт Фандз плс)/FinEx Investment Management LLP;1000000020;Паи/акции Биржевого инвестиционного фонда ФинЭкс на золото (ETF, класс акций в долларах США) / FinEx Gold ETF USD;Акции иностранного биржевого инвестиционного фонда;;;;;FXGD;;;
Первый уровень;03.07.2017;"АО ""Тинькофф Банк""";7710140679;биржевые облигации документарные процентные неконвертируемые на предъявителя с обязательным централизованным хранением серии 001Р-01R;Облигация биржевая;4B020102673B001P;26.04.2017;1000;5 000 000;RU000A0JXQ85;22.04.2022;;
Первый уровень;11.07.2017;Финансовое управление Тамбовской области;6831001090;Государственные облигации Тамбовской области 2017 года в форме документарных ценных бумаг на предъявителя с фиксированным купонным доходом и амортизацией долга;Облигация субфедеральная;RU35003TMB0;03.07.2017;1000;3 500 000;RU000A0JXVH8;12.07.2024;12.07.2017;
Первый уровень;14.07.2017;"ПАО ""РусГидро""";2460066195;неконвертируемые процентные документарные облигации на предъявителя серии 09 с обязательным централизованным хранением;Облигация корпоративная;4-09-55038-E;27.12.2012;1000;10 000 000;RU000A0JVD25;15.04.2025;;
Первый уровень;24.07.2017;"ПАО ""НК ""Роснефть""";7706107510;биржевые облигации процентные неконвертируемые документарные на предъявителя с обязательным централизованным хранением серии 001Р-06;Облигация биржевая;4B02-06-00122-A-001P;24.07.2017;1000;90 000 000;RU000A0JXXD3;14.07.2027;26.07.2017;
Первый уровень;24.07.2017;"ПАО ""НК ""Роснефть""";7706107510;биржевые облигации процентные неконвертируемые документарные на предъявителя с обязательным централизованным хранением серии 001Р-07;Облигация биржевая;4B02-07-00122-A-001P;24.07.2017;1000;176 000 000;RU000A0JXXE1;14.07.2027;26.07.2017;
Первый уровень;31.07.2017;"ПАО ""Полюс""";7703389295;биржевые облигации процентные неконвертируемые документарные на предъявителя с обязательным централизованным хранением серии БО-02;Облигация биржевая;4B02-02-55192-E;26.01.2015;1000;5 000 000;RU000A0JVM99;03.07.2025;;
Первый уровень;31.07.2017;"ПАО ""Полюс""";7703389295;биржевые облигации процентные неконвертируемые документарные на предъявителя с обязательным централизованным хранением серии БО-01;Облигация биржевая;4B02-01-55192-E;26.01.2015;1000;5 000 000;RU000A0JVMD0;03.07.2025;;
Первый уровень;31.07.2017;"ПАО ""Полюс""";7703389295;биржевые облигации процентные неконвертируемые документарные на предъявителя с обязательным централизованным хранением серии БО-03;Облигация биржевая;4B02-03-55192-E;26.01.2015;1000;5 000 000;RU000A0JVMB4;03.07.2025;;
Первый уровень;02.08.2017;"ПАО ""Группа Компаний ПИК""";7713011336;Биржевые облигации процентные неконвертируемые документарные на предъявителя с обязательным централизованным хранением серии БО-П03;Облигация биржевая;4B02-03-01556-A-001P;25.07.2017;1000;10 000 000;RU000A0JXY44;29.07.2022;04.08.2017;
Первый уровень;08.08.2017;Минфин КК;2308040000;Государственные облигации Краснодарского края 2017 года с фиксированным купонным доходом и амортизацией долга;Облигация субфедеральная;RU35001KND0;01.08.2017;1000;10 000 000;RU000A0JXYS9;09.08.2024;11.08.2017;
Первый уровень;15.08.2017;"ООО ""ИА Абсолют 4""";7743115170;неконвертируемые документарные процентные жилищные облигации с ипотечным покрытием на предъявителя с обязательным централизованным хранением;Облигация корпоративная;4-01-36524-R;20.09.2016;1000;4 964 449;RU000A0JWU80;11.12.2043;;
Первый уровень;15.08.2017;"ПАО ""ГТЛК""";7720261827;биржевые облигации неконвертируемые процентные документарные на предъявителя с обязательным централизованным хранением серии 001Р-05;Облигация биржевая;4B02-05-32432-H-001P;15.08.2017;1000;170 000;RU000A0JY023;21.08.2024;30.08.2017;
Первый уровень;18.08.2017;"АО ""Эталон ЛенСпецСМУ""";7802084569;неконвертируемые процентные документарные биржевые облигации на предъявителя с обязательным централизованным хранением серии 001Р-01;Облигация биржевая;4B02-01-17644-J-001P;15.06.2016;1000;5 000 000;RU000A0JWLG3;17.06.2021;;
Первый уровень;28.08.2017;Министерство финансов Республики Марий Эл;1200000874;государственные облигации Республики Марий Эл выпуска 2017 года (в форме документарных ценных бумаг на предъявителя) с фиксированным купонным доходом и амортизацией долга;Облигация субфедеральная;RU35008MAR0;22.08.2017;1000;2 000 000;RU000A0JY031;21.08.2024;30.08.2017;
Первый уровень;06.09.2017;"АО ""Эталон ЛенСпецСМУ""";7802084569;неконвертируемые процентные документарные биржевые облигации на предъявителя с обязательным централизованным хранением серии 001Р-02;Облигация биржевая;4B02-02-17644-J-001P;06.09.2017;1000;5 000 000;RU000A0ZYA66;09.09.2022;15.09.2017;
Первый уровень;12.09.2017;Минфин России;7710168360;облигации федерального займа для физических лиц;Облигация федерального займа;53002RMFS;11.09.2017;1000;11 394 660;SU53002RMFS0;16.09.2020;;
Первый уровень;14.09.2017;"ПАО ""ГТЛК""";7720261827;биржевые облигации неконвертируемые процентные документарные на предъявителя с обязательным централизованным хранением серии 001Р-06;Облигация биржевая;4B02-06-32432-H-001P;14.09.2017;1000;20 000 000;RU000A0ZYAP9;01.09.2032;20.09.2017;
Первый уровень;22.09.2017;"ООО ""ИА АкБарс2""";7743103136;"неконвертируемые процентные документарные жилищные облигации с ипотечным покрытием на предъявителя класса ""А"" с обязательным централизованным хранением";Облигация корпоративная;4-02-36493-R;24.12.2015;1000;10 308 852;RU000A0JW316;15.10.2047;;
Первый уровень;25.09.2017;ГФУ Кемеровской области;4200000630;государственные облигации Кемеровской области 2017 года в форме документарных ценных бумаг на предъявителя с фиксированным купонным доходом и амортизацией долга;Облигация субфедеральная;RU35002KEM0;14.09.2017;1000;9 000 000;RU000A0ZYB40;26.09.2024;26.09.2017;
Первый уровень;26.09.2017;МФ и НП НСО;5406634649;государственные облигации Новосибирской области 2017 года в форме документарных ценных бумаг на предъявителя с фиксированным купонным доходом и амортизацией долга;Облигация субфедеральная;RU34018ANO0;19.09.2017;1000;5 000 000;RU000A0ZYBD3;27.09.2022;28.09.2017;
Первый уровень;27.09.2017;"ПАО ""Группа ЛСР""";7838360491;биржевые облигации документарные процентные неконвертируемые на предъявителя с обязательным централизованным хранением серии 001Р-03;Облигация биржевая;4B02-03-55234-E-001P;27.09.2017;1000;5 000 000;RU000A0ZYBV5;27.09.2022;03.10.2017;
Первый уровень;28.09.2017;ПАО Сбербанк;7707083893;биржевые облигации документарные процентные неконвертируемые на предъявителя с обязательным централизованным хранением серии 001Р-03R;Облигация биржевая;4B020301481B001P;28.09.2017;1000;40 000 000;RU000A0ZYBS1;08.12.2020;13.10.2017;
Первый уровень;06.10.2017;"Банк ""ВБРР"" (АО)";7736153344;Биржевые облигации документарные процентные неконвертируемые на предъявителя с обязательным централизованным хранением серии 001P-01;Облигация биржевая;4B020103287B001P;06.10.2017;1000;10 000 000;RU000A0ZYCJ8;12.10.2020;10.10.2017;
Первый уровень;09.10.2017;Администрация Курской области;4629016041;Государственные облигации Курской области 2017 года в форме документарных ценных бумаг на предъявителя с фиксированным купонным доходом и амортизацией долга;Облигация субфедеральная;RU35001KUR0;25.09.2017;1000;4 000 000;RU000A0ZYCD1;12.10.2025;10.10.2017;
Первый уровень;09.10.2017;"ПАО ""НК ""Роснефть""";7706107510;биржевые облигации процентные неконвертируемые документарные на предъявителя с обязательным централизованным хранением серии 001Р-08;Облигация биржевая;4B02-08-00122-A-001P;09.10.2017;1000;100 000 000;RU000A0ZYCP5;30.09.2027;12.10.2017;
Первый уровень;10.10.2017;Минфин России;7710168360;облигации федерального займа с постоянным купонным доходом;Облигация федерального займа;25083RMFS;06.10.2017;1000;350 000 000;SU25083RMFS5;15.12.2021;18.10.2017;
Первый уровень;11.10.2017;Минфин края;2460071533;Государственные облигации Красноярского края 2017 года в форме документарных ценных бумаг на предъявителя с фиксированным купонным доходом и амортизацией долга;Облигация субфедеральная;RU34013KNA0;04.10.2017;1000;10 000 000;RU000A0ZYCM2;03.10.2024;12.10.2017;
Первый уровень;12.10.2017;"ПАО ""Группа Компаний ПИК""";7713011336;Биржевые облигации процентные неконвертируемые документарные на предъявителя с обязательным централизованным хранением серии БО-П02;Облигация биржевая;4B02-02-01556-A-001P;25.04.2017;1000;10 000 000;RU000A0JXQ93;22.04.2022;;
Первый уровень;12.10.2017;"ПАО ""Группа Компаний ПИК""";7713011336;Биржевые облигации процентные неконвертируемые документарные на предъявителя с обязательным централизованным хранением серии БО-П01;Облигация биржевая;4B02-01-01556-A-001P;21.02.2017;1000;13 000 000;RU000A0JXK40;25.02.2022;;
Первый уровень;13.10.2017;"АО ""Кредит Европа Банк""";7705148464;биржевые облигации документарные процентные неконвертируемые на предъявителя с обязательным централизованным хранением серии 001Р-01;Облигация биржевая;4B020103311B001P;13.10.2017;1000;5 000 000;RU000A0ZYDA5;17.10.2019;19.10.2017;
Первый уровень;13.10.2017;"ООО ""ТКК""";6952036026;"неконвертируемые процентные документарные облигации на предъявителя класса ""А2"" с обязательным централизованным хранением";Облигация корпоративная;4-03-36523-R;28.08.2017;1000;3 533 000;RU000A0ZYBA9;31.12.2033;09.11.2017;
Первый уровень;16.10.2017;"ПАО ""Транснефть""";7706061801;биржевые облигации документарные процентные неконвертируемые на предъявителя с обязательным централизованным хранением серии БО-001Р-08;Облигация биржевая;4B02-08-00206-A-001P;16.10.2017;1000;25 000 000;RU000A0ZYDD9;09.10.2025;19.10.2017;
Первый уровень;17.10.2017;департамент финансов ЯНАО;8901017477;Облигации государственного внутреннего займа Ямало-Ненецкого автономного округа 2017 года для физических лиц;Облигация субфедеральная;RU35003YML0;10.10.2017;1000;1 000 000;RU000A0ZYD55;18.10.2022;;
Первый уровень;19.10.2017;"ПАО ""ФСК ЕЭС""";4716016979;неконвертируемые процентные документарные Биржевые облигации на предъявителя серии БО-03 с обязательным централизованным хранением;Облигация биржевая;4B02-03-65018-D;06.06.2012;1000;9 000 000;RU000A0ZYDH0;06.09.2052;20.10.2017;
Первый уровень;20.10.2017;Минфин Нижегородской области;5200000021;Государственные облигации Нижегородской области с фиксированным купонным доходом и амортизацией долга;Облигация субфедеральная;RU34012NJG0;16.10.2017;1000;12 000 000;RU000A0ZYDQ1;23.10.2022;23.10.2017;
Первый уровень;23.10.2017;Минфин Свердловской области;6661004608;Государственные облигации Свердловской области 2017 года с фиксированным купонным доходом и амортизацией долга;Облигация субфедеральная;RU35004SVS0;17.10.2017;1000;10 000 000;RU000A0ZYDU3;22.10.2025;24.10.2017;
Первый уровень;23.10.2017;"ПАО ""НК ""Роснефть""";7706107510;документарные процентные неконвертируемые облигации на предъявителя серии 05 с обязательным централизованным хранением;Облигация корпоративная;4-05-00122-A;10.07.2012;1000;10 000 000;RU000A0JT965;17.10.2022;;
Первый уровень;23.10.2017;"ПАО ""НК ""Роснефть""";7706107510;документарные процентные неконвертируемые облигации на предъявителя серии 04 с обязательным централизованным хранением;Облигация корпоративная;4-04-00122-A;10.07.2012;1000;10 000 000;RU000A0JT940;17.10.2022;;
Первый уровень;07.11.2017;"ПАО ""МТС""";7740000076;биржевые облигации документарные процентные неконвертируемые на предъявителя с обязательным централизованным хранением серии 001Р-03;Облигация биржевая;4B02-03-04715-A-001P;07.11.2017;1000;15 000 000;RU000A0ZYFC6;03.11.2022;09.11.2017;
Первый уровень;08.11.2017;En+ Group plc;0010037211;Глобальные депозитарные расписки, представляющие обыкновенные акции Эн+ Груп плс;Депозитарные расписки иностранного эмитента на акции;;;;112 142 858;ENPL;;08.11.2017;
Первый уровень;08.11.2017;Минфин края;2460071533;Государственные облигации Красноярского края 2017 года в форме документарных ценных бумаг на предъявителя с фиксированным купонным доходом и амортизацией долга;Облигация субфедеральная;RU35014KNA0;31.10.2017;1000;7 800 000;RU000A0ZYFB8;31.10.2024;09.11.2017;
Первый уровень;16.11.2017;"ПАО ""Ростелеком""";7707049388;биржевые облигации документарные процентные неконвертируемые на предъявителя с обязательным централизованным хранением серии 001Р-03R;Облигация биржевая;4B02-03-00124-A-001P;16.11.2017;1000;10 000 000;RU000A0ZYG52;09.11.2027;21.11.2017;
Первый уровень;23.11.2017;"ООО ""ТКК""";6952036026;"неконвертируемые процентные документарные облигации на предъявителя класса ""А4"" с обязательным централизованным хранением";Облигация корпоративная;4-05-36523-R;28.08.2017;1000;3 752 000;RU000A0ZYGG5;31.12.2033;12.12.2018;
Первый уровень;24.11.2017;"АО ""Управление отходами""";7725727149;документарные процентные неконвертируемые биржевые облигации на предъявителя серии БО-02 с обязательным централизованным хранением;Облигация биржевая;4B02-02-76600-H;24.11.2017;1000;1 750 000;RU000A0ZZ2W9;09.10.2030;13.04.2018;
Первый уровень;28.11.2017;Мэрия города Новосибирска;5406285846;Муниципальные облигации города Новосибирска 2017 года (в форме документарных ценных бумаг на предъявителя) с фиксированным купонным доходом и амортизацией долга;Облигация муниципальная;RU35009NSB1;15.11.2017;1000;5 000 000;RU000A0ZYH93;27.11.2027;29.11.2017;
Первый уровень;28.11.2017;"ООО ""Концессии теплоснабжения""";3444259579;Облигации документарные неконвертируемые процентные на предъявителя серии 02 с обязательным централизованным хранением;Облигация корпоративная;4-02-00309-R-001P;28.08.2017;1000;2 000 000;RU000A0ZYH51;11.11.2032;29.11.2017;
Первый уровень;30.11.2017;Банк ВТБ (ПАО);7702070139;биржевые облигации процентные неконвертируемые документарные на предъявителя с обязательным централизованным хранением серии Б-1-3;Облигация биржевая;4B020301000B001P;30.11.2017;1000;5 000 000;RU000A0ZYKG7;23.12.2019;24.12.2018;
Первый уровень;01.12.2017;Администрация города Нижнего Новгорода;5253001036;муниципальные облигации города Нижнего Новгорода 2017 года в форме документарных ценных бумаг на предъявителя с фиксированным купонным доходом и амортизацией долга;Облигация муниципальная;RU34002NNV1;24.11.2017;1000;5 000 000;RU000A0ZYJ00;05.12.2022;05.12.2017;
Первый уровень;01.12.2017;"ООО ""Концессии водоснабжения""";3460019060;документарные неконвертируемые процентные облигации на предъявителя серии 05 с обязательным централизованным хранением;Облигация корпоративная;4-05-36487-R-001P;02.10.2017;1000;1 100 000;RU000A0ZYHU4;10.08.2031;04.12.2017;
Первый уровень;04.12.2017;"ПАО ""НК ""Роснефть""";7706107510;биржевые облигации процентные неконвертируемые документарные на предъявителя с обязательным централизованным хранением серии 002Р-01;Облигация биржевая;4B02-01-00122-A-002P;04.12.2017;1000;300 000 000;RU000A0ZYJH7;24.11.2027;06.12.2017;
Первый уровень;04.12.2017;"ПАО ""НК ""Роснефть""";7706107510;биржевые облигации процентные неконвертируемые документарные на предъявителя с обязательным централизованным хранением серии 002Р-02;Облигация биржевая;4B02-02-00122-A-002P;04.12.2017;1000;300 000 000;RU000A0ZYJJ3;24.11.2027;06.12.2017;
Первый уровень;04.12.2017;Финансовое управление Тамбовской области;6831001090;Государственные облигации Тамбовской области 2017 года в форме документарных ценных бумаг на предъявителя с фиксированным купонным доходом и амортизацией долга;Облигация субфедеральная;RU35004TMB0;27.11.2017;1000;3 000 000;RU000A0ZYJ18;05.12.2025;05.12.2017;
Первый уровень;05.12.2017;Комитет финансов;7830002430;государственные облигации Санкт-Петербурга с постоянным купонным доходом и амортизацией долга;Облигация субфедеральная;RU35001GSP0;30.11.2017;1000;30 000 000;RU000A0ZYHX8;28.05.2025;06.12.2017;
Первый уровень;06.12.2017;"ООО ""ДОМ.РФ Ипотечный агент""";7727290538;неконвертируемые документарные процентные жилищные облигации с ипотечным покрытием на предъявителя с обязательным централизованным хранением;Облигация корпоративная;4-02-00307-R-002P;27.11.2017;1000;48 197 806;RU000A0ZYJT2;28.04.2046;07.12.2017;
Первый уровень;06.12.2017;"ПАО ""Совкомбанк""";4401116480;Биржевые облигации документарные процентные неконвертируемые на предъявителя с обязательным централизованным хранением серии БО-05;Облигация биржевая;4B020500963B;20.01.2014;1000;10 000 000;RU000A0ZYJR6;25.11.2027;07.12.2017;
Первый уровень;12.12.2017;Комитет финансов;7830002430;государственные облигации Санкт-Петербурга с постоянным купонным доходом и амортизацией долга;Облигация субфедеральная;RU35002GSP0;12.12.2017;1000;25 000 000;RU000A0ZYKJ1;04.12.2026;15.12.2017;
Первый уровень;13.12.2017;Минфин Оренбургской области;5610008401;Государственные облигации Оренбургской области 2017 года с фиксированным купонным доходом и амортизацией долга;Облигация субфедеральная;RU35004AOR0;06.12.2017;1000;4 000 000;RU000A0ZYKH5;02.12.2027;14.12.2017;
